"Story","Title","Result","Date","Stability","Duration (s)"
"To validate automation page test","Login on evalart automation test web","SUCCESS","2024-02-15T11:45:26.8229648-05:00[America/Bogota]","0.0","43.11"
"To validate automation page test","Login on evalart web and do the test","SUCCESS","2024-02-15T11:46:09.9586479-05:00[America/Bogota]","0.0","29.7"
